name,formula,rt
LPE 18a:1,C23H46N1O7P1,6.03
LPE 18a:2,C23H44N1O7P1,6.1
LPE 20a:4,C25H44N1O7P1,6.15
PG 32a:0,C38H74O10P1,6.72
PG 32a:1,C38H73O10P1,6.72
PG 34a:1,C40H77O10P1,6.72
PG 34a:2,C40H75O10P1,6.73
PG 34a:3,C40H72O10P1,6.73
PG 36a:1,C42H81O10P1,6.72
PG 36a:2,C42H79O10P1,6.72
PG 38a:4,C44H78O10P1,6.72
PI 32a:1 ,C41H77O13P1,7.9
PI 34a:1 ,C43H81O13P1,7.86
PI 34a:2,C43H79O13P1,7.88
PI 36a:1 ,C45H85O13P1,7.83
PI 36a:2,C45H83O13P1,7.84
PI 36a:3,C45H81O13P1,7.88
PI 36a:4,C45H79O13P1,7.91
PI 36a:5,C45H77O13P1,7.94
PI 38a:4,C47H83O13P1,7.94
PI 40a:3,C49H89O13P1,7.81
PI 40a:4,C49H87O13P1,7.83
PS 38a:4,C44H78N1O10P1,8.05
PS 38a:6,C44H74N1O10P1,8.16
PS 40a:4,C46H82N1O10P1,8
PS 40a:5,C46H80N1O10P1,8.07
PS 40a:6,C46H78N1O10P1,8.08
LPE 16a:1,C21H42N1O7P1,6.1
TG 49:6,C52H88O6,1.09
TG 49:7,C52H86O6,1.15
CE 19:0,C46H82O2,0.84
FA 18:1,C18H34O2,3.04
FA 18:3,C18H30O2,3.1
FA 18:4,C18H28O2,3.15
FA 20:1,C20H38O2,3.06
FA 20:3,C20H34O2,3.1
FA 20:4,C20H32O2,3.17
FA 20:5,C20H30O2,3.2
FA 22:4,C22H36O2,3.14
FA 22:5,C22H34O2,3.17
FA 22:6,C22H32O2,3.32
TG 58:11,C61H96O6,2.09
Carnitine,C7H15N1O3,5.78
Carnitine,C7H16N1O3,5.78
CE 15:1,C42H72O2,0.82
CE 17:1,C44H76O2,0.82
CE 22:5,C49H78O2,0.9
CE 15:0,C42H74O2,0.82
CE 17:0,C44H78O2,0.82
CE 18:1,C45H78O2,0.82
CE 20:3,C47H78O2,0.87
TG 50:0,C53H102O6,1.04
TG 50:1,C53H100O6,1.11
TG 60:11,C63H100O6,2.1
TG 60:12,C63H98O6,2.11
TG 60:13,C63H96O6,2.15
Cer (d18:1/C19:0),C37H73N1O3,3.27
Cer (d18:1/C23:0),C41H81N1O3,3.28
Cer (d18:1/C25:0),C43H85N1O3,3.29
Cer (d18:1/C26:1),C44H85N1O3,3.31
Cer (d18:2/C24:1),C42H79N1O3,3.35
PI 38a:6,C47H79O13P1,7.93
PI 40a:5,C49H85O13P1,7.86
PI 40a:6,C49H83O13P1,7.88
PS 42a:6,C48H82N1O10P1,8.05
